ID,Name,Cuisine,Delivery_rating,Dining_rating,Overall_rating,Area,Offer,Votes,Featured
19639453,The Momo House,"Momos, Beverages",3.9,3.8,3.9,"Kothrud, Pune",,344,NO
20122025,La Pino'z Pizza,"Italian, Pizza",3.5,3.7,3.6,"Salunkhe Vihar Road, Pune",,35,NO
19960393,"Laddish Cafe - Food, Music & Liquid Station","Momos, North Indian, Fast Food",3.6,3.8,3.7,"Bhugaon, Pune",,67,NO
19332714,Char Bar,"Finger Food, North Indian, Chinese, Continental",3.9,4.0,4.0,"Wakad, Pune",,152,NO
13251,Evviva Sky Lounge - Crowne Plaza Pune City Centre,"Asian, Mughlai, Continental",,4.2,4.2,"Crowne Plaza Pune City Centre, Bund Garden Road, Pune",,767,NO
18602986,Publiq,"Bar Food, Asian, North Indian",4.0,4.1,4.1,"Koregaon Park, Pune",Pro - Get 25% off,"1,657",NO
19914467,Helium,"Oriental, Continental, North Indian",,3.8,3.8,"Yerawada, Pune",Pro - Get 20% off,98,NO
19279376,Ice N Fire Sky Lounge,"Finger Food, Continental, North Indian",4.0,4.3,4.2,"Baner, Pune",Pro - Get 20% off,"1,132",NO
18719462,The Deccan Bid Capital,"Asian, Continental, North Indian, Bar Food",3.3,4.4,3.9,"Shivaji Nagar, Pune",,"3,348",NO
6503424,Atmosphere 6,"North Indian, Continental, Chinese",4.1,4.1,4.1,"Sky Max Mall, Viman Nagar, Pune",Pro - Get 15% off,"3,624",NO
6505974,Ecstasy Bar And Eatery,"North Indian, Chinese, Continental, Fast Food, Beverages, Desserts",3.7,4.0,3.9,"Kothrud, Pune",,"1,502",NO
19575172,Bedi's Naan & Paratha House,North Indian,3.8,3.4,3.6,"Baner, Pune",,653,NO
6507525,Malhar Khanaval,"Maharashtrian, North Indian, Mughlai, Malwani, Biryani",3.7,3.8,3.8,"JM Road, Pune",,12.4K,NO
11371,Chili's American Grill & Bar,"American, Mexican, Tex-Mex, Salad, Desserts",3.9,4.6,4.3,"Phoenix Market City, Viman Nagar, Pune",Pro - Get 15% off,"7,357",NO
6506464,PK Biryani House,"Biryani, North Indian, Mughlai, Maharashtrian",4.0,4.1,4.1,"Karve Nagar, Pune",,"5,594",NO
18664424,360 Degree - The Revolving Fine Dine Restaurant,"North Indian, Continental, Chinese, Mughlai, Desserts, Shake, Bar Food",,4.1,4.1,"Bhosale-Shinde Arcade, JM Road, Pune",,"1,178",NO
19543392,Lockdown Cafe & Bistro,"Cafe, Chinese, Continental, Lebanese, North Indian, Beverages, Fast Food, Shake",3.9,3.5,3.7,"Bavdhan, Pune",,190,NO
18597704,Masakha - Seafood Resto & Bar,"North Indian, Seafood, Chinese, Asian, Mughlai",3.7,4.2,4.0,"Narhe, Pune",,"1,878",NO
11524,Durvankur,Maharashtrian,,4.3,4.3,"Sadashiv Peth, Pune",,"1,495",NO
18676755,Dhaba - Estd 1986 Delhi,"Mughlai, Biryani, North Indian",4.0,4.4,4.2,"The Pavillion, Senapati Bapat Road, Pune",,"2,604",NO
19499110,The Doner Company,"Lebanese, Wraps, Sandwich, Rolls, Beverages",3.8,3.7,3.8,"Salunkhe Vihar Road, Pune",,"1,290",NO
19037638,Shree Khodiyar Kathiyawadi Dhaba,"Gujarati, North Indian",3.8,3.5,3.7,"Katargam, Surat",,"2,521",NO
19956260,Tea Post,"Coffee, Fast Food, Beverages, Tea, Shake, Sandwich",3.7,3.5,3.6,"Sarthana, Surat",,101,NO
19184161,Taste Of Kolkata Rolls,"Fast Food, Rolls",4.0,3.8,3.9,"New Textile Market, Surat",,"2,257",NO
18976151,Amdavadi Tawa Fry,"North Indian, Mughlai",3.9,3.6,3.8,"Piplod, Surat",,"3,744",NO
18997671,Bhavnagar Ice Dish Gola - Doctor House,"Ice Cream, Desserts, Beverages, Shake",3.9,3.4,3.7,"Varachha, Surat",,658,NO
19056190,Lukmaa,"North Indian, Chinese, Mughlai, Biryani",3.8,3.4,3.6,"Adajan Patiya, Surat",,"3,898",NO
19220634,Famous Frankie,"Rolls, Fast Food",4.1,,4.1,"Adajan Gam, Surat",,351,NO
19265860,China Town Chinese Food,"Chinese, Street Food",3.9,,3.9,"City Light, Surat",,"2,447",NO
3800693,Cake It Out,"Bakery, Desserts",4.3,4.2,4.3,"Adajan Gam, Surat",,"2,702",NO
19197857,Farm To Table Cafe & Restro Lounge,"North Indian, Chinese, Seafood, Fast Food, Beverages",3.6,3.4,3.5,"Dumas, Surat",,98,NO
19179030,Mahesh Pav Bhaji,"South Indian, Street Food, Chinese, Fast Food",3.8,3.2,3.5,"Umarwada, Surat",,"1,267",NO
19213246,Chinese Point,"Fast Food, Chinese",3.4,3.5,3.5,"Nanpura, Surat",,"1,605",NO
18609709,The Food Club,North Indian,3.8,4.0,3.9,"Adajan Gam, Surat",,"1,064",NO
20106904,Greenees Fast Food,"Fast Food, Pizza, Sandwich, South Indian, Beverages",4.0,3.6,3.8,"Vesu, Surat",,62,NO
19116753,Famous Vadapav,"Fast Food, Street Food",4.4,3.2,3.8,"Kamrej, Surat",,769,NO
19093824,Zhingalala,"North Indian, Gujarati, Chinese",3.5,4.0,3.8,"Piplod, Surat",Pro - Get 15% off,391,NO
20166212,La Pino'z Pizza,"Pizza, Fast Food, Italian, Beverages",4.2,3.6,3.9,"Athwa, Surat",,39,NO
18493645,Nareshbhai Bhelwala,"Sandwich, Street Food, Chinese, Fast Food",4.1,3.7,3.9,"Gopipura, Surat",,"6,937",NO
18551944,Coffee King Cafe & Restaurant,"Cafe, Coffee, Desserts, Fast Food, Beverages",4.3,4.5,4.4,"Vesu, Surat",Pro - Get 15% off,"3,932",NO
18744480,Mustak Amdawadi Tawa Fry,"North Indian, Mughlai, Chinese, Street Food",3.6,4.2,3.9,"Vesu, Surat",,"1,035",NO
19828413,Coffee Culture - The Ristorante Lounge,"Cafe, Continental",3.8,3.2,3.5,"Katargam, Surat",,174,NO
18698239,Cream 'N' Crust Café,"Cafe, Bakery, Fast Food, Desserts, Ice Cream",4.1,4.2,4.2,"Vesu, Surat",,"1,239",NO
19161577,Shakti - The Sandwich Shop,"Sandwich, Fast Food, Beverages, Shake",3.9,3.5,3.7,"Katargam, Surat",,823,NO
19408252,The Gallery,"North Indian, Continental, Fast Food, Beverages, Salad",4.0,3.1,3.6,"Dumas, Surat",,82,NO
19733467,Shreeji Kathiyawadi Restaurant,"Gujarati, North Indian",4.0,,4.0,"Katargam, Surat",,336,NO
19267908,The Bungalow Cafe,"Cafe, Fast Food, Pizza, Beverages",,3.5,3.5,"Vesu, Surat",,72,NO
18770341,Kinaara - The Cafe,"Cafe, Fast Food, Chinese, Italian, Shake, Coffee, Pizza, Sandwich",3.5,3.9,3.7,"Piplod, Surat",,682,NO
19175875,Starbucks Coffee,"Cafe, Beverages, Fast Food, Desserts",4.1,4.1,4.1,"City Light, Surat",,"1,398",NO
18595536,The Chocolate Room,"Ice Cream, Fast Food, Chinese, Mexican, Desserts, Beverages, Coffee, Waffle",3.5,3.3,3.4,"Vesu, Surat",,488,NO
3800437,The Hog Spot Café,"Continental, Mexican, Pizza, Beverages",3.8,4.5,4.2,"Athwa, Surat",,"1,084",NO
123151,The Brewmaster - Arista Hotel,"North Indian, Continental, Chinese",3.4,3.9,3.7,"Arista Hotel, Kharar Road, Mohali",,499,Featured
20157239,Pink Wasabi,"Japanese, Asian, Desserts",Newly Opened,Newly Opened,3.5,"Elante Mall, Chandigarh Industrial Area, Chandigarh",,77,Featured
20198656,SHANGZ,"Chinese, Fast Food, Thai, Asian, Beverages, Salad, Healthy Food, Momos",3.9,3.5,3.7,"Phase 3, Mohali",,11,NO
18670833,Guru Pure Vegetarian Dhaba,"North Indian, Chinese, Beverages",3.9,4.1,4.0,"Phase 3, Mohali",,28.8K,NO
19121210,Fun Bytes,"Burger, Wraps, Fast Food, Sandwich, Beverages, Pizza, Shake",4.2,3.9,4.1,"Kharar Road, Mohali",,"4,987",NO
20157747,Zsa Zsa Burger ,"Burger, Fast Food",Newly Opened,Newly Opened,4.0,"Sector 8, Chandigarh",,24,NO
120745,Haramrit Vaishno Dhaba,"North Indian, Street Food, Chinese",4.0,4.2,4.1,"Phase 3B2 Market, Phase 3, Mohali",,23.3K,NO
20007150,KK Vaishno Dhaba,"North Indian, Chinese",4.1,,4.1,"Sector 70, Mohali",,61,NO
122910,Samosa Junction,"Sandwich, Burger, Fast Food, Chinese, Beverages, Shake",4.2,3.9,4.1,"Phase 10, Mohali",,"8,375",NO
20155219,Bowl Wala,"Chinese, Asian, Desserts, Beverages",Newly Opened,Newly Opened,4.3,"Sector 8, Chandigarh",,115,NO
